state,population
Alabama,122
Alaska,3534
Arkansas,2143
Arizona,229
California,91224
Colorado,3859
Connecticut,225
delaware,3
Florida,1208
Georgia,3623
Hawaii,87
Iowa,534
Idaho,44
Illinois,651
Indiana,218
Kansas,1732
Kentucky,71
Louisiana,49
Maine,7
Maryland,76
Massachusetts,1080
Michigan,5924
Minnesota,66181
Missouri,1329
Mississippi,50
Montana,253
North Carolina,10864
North Dakota,33
Nebraska,188
New Hampshire,27
New Jersey,83
New Mexico,28
Nevada,254
New York,295
Ohio,589
Oklahoma,3369
Oregon,2920
Pennsylvania,1021
Rhode Island,1015
South Carolina,1218
South Dakota,94
Tennessee,400
Texas ,920
Utah,426
Virginia ,188
Vermont,1
Washington,2404
Wisconsin,49240
West Virginia,5
Wyoming,8
